Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TC loss (%)
55.99999999999999,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,2.039744803,59.5
55.99999999999999,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,2.039744803,60.5
55.99999999999999,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,2.039744803,55.3
55.99999999999999,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,2.039744803,44.3
28.0,0.0,0.0,0.0,9.0,0.0,0.13,61.4561,0.0,1.667,41.19
28.0,0.0,0.0,0.0,9.0,2.0,0.13,60.661,0.0,1.6679999999999997,38.64
28.0,0.0,0.0,0.0,9.0,4.0,0.13,59.7109,0.0,1.613,31.45
28.0,0.0,0.0,0.0,9.0,6.0,0.13,60.4548,0.0,1.562,25.78
28.0,0.0,0.0,0.0,9.0,8.0,0.13,60.06839999999999,0.0,1.563,18.48
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.858895706,2.6237,46.9
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9256198349999999,1.99111,53.94
28.0,28.0,30.0,30.000000000000004,2.0,0.0,0.071215,59.99999999999999,0.9032258060000001,1.60222,67.74
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,66.9,1.207272727,1.5,52.8
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,58.6,0.964341085,1.6999999999999997,59.4
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,53.1,0.855474453,1.8999999999999997,62.5
28.0,28.0,30.0,60.00000000000001,4.0,0.0,0.06,47.5,0.7602339179999998,2.0,60.1
40.0,0.0,0.0,0.0,9.0,0.0,0.19999999999999998,65.0,0.0,1.33073,55.81
40.0,0.0,0.0,0.0,9.0,1.0,0.19999999999999998,65.0,0.0,1.34581,54.13
40.0,0.0,0.0,0.0,9.0,5.0,0.19999999999999998,65.0,0.0,1.24777,52.5
40.0,0.0,0.0,0.0,9.0,6.0,0.19999999999999998,65.0,0.0,1.23268,48.48
