Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),N2O-N loss (%)
35.0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.20000000000000004,2.68,0.5
55.99999999999999,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,2.039744803,1.0
55.99999999999999,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,2.039744803,0.79
55.99999999999999,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,2.039744803,0.74
55.99999999999999,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,2.039744803,0.68
55.99999999999999,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,2.039744803,0.86
28.0,0.0,0.0,0.0,9.0,0.0,0.13,61.4561,0.0,1.667,2.05
28.0,0.0,0.0,0.0,9.0,2.0,0.13,60.661,0.0,1.6679999999999997,2.01
28.0,0.0,0.0,0.0,9.0,4.0,0.13,59.7109,0.0,1.613,1.53
28.0,0.0,0.0,0.0,9.0,6.0,0.13,60.4548,0.0,1.562,1.42
28.0,0.0,0.0,0.0,9.0,8.0,0.13,60.06839999999999,0.0,1.563,1.24
28.0,0.0,0.0,0.0,9.0,10.0,0.13,59.4546,0.0,1.555,0.75
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23336,0.1
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.28344,0.11
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23179,0.06
64.0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.157,2.11755,0.06
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.08241758199999999,2.230494505,0.694913167
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,0.826446281,2.231404959,0.265527778
25.0,25.0,30.0,30.000000000000004,0.0,0.0,0.06,59.99999999999999,1.643835616,2.230684932,0.168109801
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,77.53,0.0,3.2533060000000003,0.02
77.39999999999999,0.0,0.0,0.0,20.599999999999998,0.0,0.39999999999999997,66.71,0.0,2.1712804803000005,1.1
77.39999999999999,0.0,0.0,0.0,14.799999999999999,0.0,0.39999999999999997,66.36,0.0,2.287306,1.2
74.3,0.0,0.0,0.0,11.3,0.0,4.7194,67.68,0.0,2.0982349606,0.004
