Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
7,1.0,0,0,0,0.0,15,2,6,7,37.0,37.0,0,0.0,4.0,0.0,64.1,0.24,14.7,1.6
7,1.0,0,0,0,0.0,15,2,6,7,37.0,37.0,0,0.0,4.0,0.0,71.3,0.24,18.4,1.5
7,1.0,0,0,0,0.0,15,2,6,7,37.0,37.0,0,0.0,4.0,0.0,75.7,0.24,21.2,2.1
7,1.0,0,0,0,0.0,15,2,6,7,31.0,30.0,0,0.0,1.0,2.83,69.47,0.31,13.16,0.54
7,0.0,1,0,0,0.0,15,2,6,7,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,0.81
7,1.0,1,0,0,0.0,15,2,6,7,70.0,0.0,2,0.0,10.0,0.0,64.0,0.0,17.4,0.96
7,0.0,1,0,0,0.0,15,2,6,7,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,1.05
7,1.0,1,0,0,0.0,15,2,6,7,70.0,0.0,2,0.0,5.0,0.0,64.0,0.0,17.4,1.07
6,1.0,0,0,0,20.0,15,2,6,7,39.0,39.0,1,20.0,7.0,0.0,68.07,0.46,25.38,1.11
6,1.0,0,0,0,20.0,15,2,5,7,39.0,39.0,1,20.0,7.0,0.0,68.53,0.46,24.57,1.37
7,0.0,2,0,0,0.0,15,2,0,7,55.0,0.0,2,0.0,7.0,0.0,60.04,0.0,15.39,0.04
7,0.0,2,0,0,0.0,15,2,0,7,55.0,0.0,2,0.0,15.0,0.0,60.04,0.0,15.39,0.02
6,0.0,2,0,0,0.0,15,2,0,7,30.0,0.0,2,0.0,12.0,0.0,64.83,0.0,7.73,0.02
6,0.77,2,0,0,12.28,15,2,0,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,0.01
6,1.0,0,0,0,0.0,15,2,6,7,35.0,35.0,0,0.0,5.0,0.0,72.1,0.2,11.37,0.5
7,1.0,0,0,0,0.0,15,2,6,7,56.0,0.0,2,0.0,7.0,0.0,67.6,0.0,18.98,1.0
7,1.0,0,0,0,0.0,21,2,6,7,56.0,0.0,2,0.0,7.0,3.3,67.6,0.0,18.98,0.79
7,1.0,0,0,0,0.0,21,2,6,7,56.0,0.0,2,0.0,7.0,6.6,67.6,0.0,18.98,0.74
7,1.0,0,0,0,0.0,21,2,6,7,56.0,0.0,2,0.0,7.0,9.9,67.6,0.0,18.98,0.68
7,1.0,0,0,0,0.0,21,2,6,7,56.0,0.0,2,0.0,7.0,13.2,67.6,0.0,18.98,0.86
5,1.0,0,0,0,0.0,15,2,6,7,28.0,0.0,2,0.0,9.0,0.0,61.46,0.0,30.88,2.05
5,1.0,0,0,0,0.0,6,2,6,7,28.0,0.0,2,0.0,9.0,2.0,60.66,0.0,30.04,2.01
5,1.0,0,0,0,0.0,6,2,6,7,28.0,0.0,2,0.0,9.0,4.0,59.71,0.0,30.35,1.53
5,1.0,0,0,0,0.0,6,2,6,7,28.0,0.0,2,0.0,9.0,6.0,60.45,0.0,30.57,1.42
5,1.0,0,0,0,0.0,6,2,6,7,28.0,0.0,2,0.0,9.0,8.0,60.07,0.0,30.88,1.24
5,1.0,0,0,0,0.0,6,2,6,7,28.0,0.0,2,0.0,9.0,10.0,59.45,0.0,31.04,0.75
0,0.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,22.14,0.1
0,1.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,18.21,0.11
0,1.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,12.0,0.0,74.0,0.0,18.21,0.06
0,1.0,1,0,0,0.0,15,2,6,7,64.0,64.0,0,0.0,12.0,0.0,74.0,1.16,19.65,0.06
5,1.0,0,0,0,30.0,15,1,6,7,25.0,25.0,1,30.0,0.0,0.0,60.0,0.08,19.77,0.69
5,1.0,0,0,0,30.0,15,1,6,7,25.0,25.0,1,30.0,0.0,0.0,60.0,0.83,20.12,0.27
5,1.0,0,0,0,30.0,15,1,6,7,25.0,25.0,1,30.0,0.0,0.0,60.0,1.64,20.02,0.17
7,0.0,1,0,0,0.0,15,2,3,7,61.1,0.0,2,0.0,3.2,0.0,77.53,0.0,6.53,0.02
7,0.0,1,0,0,0.0,15,2,0,7,61.1,0.0,2,0.0,3.2,0.0,66.71,0.0,6.81,1.1
7,0.0,1,0,0,0.0,15,2,0,7,70.6,0.0,2,0.0,5.7,0.0,66.36,0.0,9.22,1.2
7,0.0,1,0,0,0.0,15,2,0,7,61.1,0.0,2,0.0,3.2,0.0,67.68,0.0,7.35,0.0
7,0.0,1,0,0,0.0,15,2,0,7,64.1,0.0,2,0.0,5.6,0.0,66.26,0.0,7.24,0.03
6,1.0,0,0,0,0.0,15,2,5,7,50.0,50.0,0,0.0,0.0,0.0,72.13,0.22,19.11,0.06
6,1.0,0,0,0,0.0,15,2,6,7,50.0,50.0,0,0.0,0.0,0.0,69.74,0.21,13.27,0.04
6,1.0,0,0,0,0.0,15,2,2,7,50.0,50.0,0,0.0,0.0,0.0,71.05,0.21,13.56,0.03
7,1.0,0,0,0,30.0,15,2,6,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.86,15.04,0.14
7,1.0,0,0,0,30.0,15,2,6,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.93,19.96,0.21
7,1.0,0,0,0,30.0,15,2,6,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.9,24.99,0.28
7,1.0,0,0,0,30.0,15,2,6,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.91,30.23,0.32
2,1.0,0,0,0,60.0,15,2,3,7,28.0,28.0,1,30.0,4.0,0.0,66.9,1.21,25.0,1.68
2,1.0,0,0,0,60.0,15,2,0,7,28.0,28.0,1,30.0,4.0,0.0,58.6,0.96,20.9,0.69
2,1.0,0,0,0,60.0,15,2,0,7,28.0,28.0,1,30.0,4.0,0.0,53.1,0.86,18.7,1.34
0,0.77,2,0,0,12.28,15,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,0.9
0,0.77,2,0,0,12.28,15,2,3,7,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,1.1
7,1.0,2,0,0,0.0,15,2,6,7,56.0,56.0,0,0.0,0.0,0.0,69.4,0.11,29.0,1.13
7,1.0,2,0,0,0.0,23,2,6,7,56.0,56.0,0,0.0,0.0,1.73,71.1,0.11,24.7,1.06
7,1.0,2,0,0,0.0,23,2,6,7,56.0,56.0,0,0.0,0.0,1.39,71.2,0.11,17.6,1.02
7,1.0,2,0,0,0.0,23,2,6,7,56.0,56.0,0,0.0,0.0,3.7,67.6,0.11,19.0,0.71
7,1.0,2,0,0,0.0,23,2,6,7,56.0,56.0,0,0.0,0.0,0.32,69.2,0.11,19.5,0.81
7,1.0,2,0,0,0.0,23,4,5,7,56.0,56.0,0,0.0,0.0,2.07,71.0,0.11,21.2,0.77
7,1.0,2,0,0,0.0,20,2,6,7,56.0,56.0,0,0.0,0.0,0.0,70.3,0.11,19.6,1.2
7,1.0,2,0,0,0.0,23,4,5,7,56.0,56.0,0,0.0,0.0,2.84,71.8,0.11,19.5,1.03
0,0.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,0.0,0.0,74.27,0.0,19.03,0.11
0,1.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,0.0,0.0,74.27,0.0,18.21,0.11
0,1.0,1,0,0,0.0,15,2,6,7,64.0,0.0,2,0.0,12.0,0.0,74.27,0.0,18.21,0.07
0,0.77,1,0,0,12.28,15,2,6,7,45.39,26.82,1,2.19,5.33,5.76,63.88,0.7,20.85,0.07
