Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
3,0.77,0,0,2,12.28,24,3,3,8,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,32.8
3,0.77,0,0,2,12.28,24,3,3,7,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,12.6
3,0.77,0,0,2,12.28,24,3,3,5,45.39,26.82,0,2.19,5.33,5.76,63.88,0.7,20.85,3.5
4,0.77,1,0,2,12.28,31,3,1,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,11.4
4,0.77,1,0,2,12.28,4,3,1,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,8.14
4,0.77,1,0,2,12.28,41,3,1,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,4.23
4,0.77,1,0,2,12.28,41,3,1,0,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,7.93
9,1.0,0,0,2,0.0,31,3,6,13,35.0,35.0,0,0.0,4.0,0.0,69.2,0.3,18.4,32.5
9,1.0,0,0,2,0.0,14,3,6,9,35.0,35.0,0,0.0,4.0,1.68,69.2,0.3,18.4,14.5
9,1.0,0,0,2,0.0,15,3,6,11,35.0,35.0,0,0.0,4.0,1.68,69.2,0.3,18.4,16.0
9,1.0,0,0,2,0.0,5,3,6,11,35.0,35.0,0,0.0,4.0,1.68,69.2,0.3,18.4,13.3
9,1.0,0,0,2,0.0,14,3,6,11,35.0,35.0,0,0.0,4.0,1.68,69.2,0.3,18.4,5.9
9,1.0,0,0,2,0.0,31,3,6,13,30.0,30.0,0,0.0,6.0,0.0,66.11,2.57,17.58,1.6
9,1.0,0,0,2,0.0,0,3,6,13,30.0,30.0,0,0.0,6.0,5.0,60.76,2.57,27.17,1.18
9,1.0,0,0,2,0.0,0,3,6,13,30.0,30.0,0,0.0,6.0,10.0,60.61,2.57,14.51,0.86
9,1.0,0,0,2,0.0,0,3,6,13,30.0,30.0,0,0.0,6.0,20.0,58.22,2.57,16.89,0.69
9,1.0,0,0,2,0.0,7,3,6,13,30.0,30.0,0,0.0,6.0,1.0,60.76,2.57,27.17,0.85
9,1.0,0,0,2,0.0,31,3,7,13,28.0,28.0,0,0.0,4.0,0.0,62.06,0.36,17.91,13.18
9,1.0,0,0,2,0.0,40,3,7,13,28.0,28.0,0,0.0,4.0,10.0,58.69,0.36,18.23,11.36
3,1.0,0,0,2,20.0,31,3,6,13,30.0,30.0,1,40.0,4.0,0.0,53.59,0.79,32.46,23.17
3,1.0,0,0,2,20.0,31,2,6,13,30.0,30.0,1,40.0,4.0,0.0,58.03,1.02,22.41,14.5
3,1.0,0,0,2,20.0,36,3,6,13,30.0,30.0,1,40.0,4.0,0.0,58.03,0.78,22.41,12.31
3,1.0,0,0,2,20.0,25,3,6,13,30.0,30.0,1,40.0,4.0,0.0,58.03,0.78,22.41,20.84
9,0.0,2,0,2,0.0,31,3,6,13,26.0,0.0,2,0.0,7.0,0.0,65.0,0.0,22.46,26.82
9,0.0,2,0,2,0.0,4,3,6,13,26.0,0.0,2,0.0,7.0,15.68,65.0,0.0,24.97,21.65
9,0.0,2,0,2,0.0,4,3,6,13,26.0,0.0,2,0.0,7.0,31.36,65.0,0.0,26.48,7.31
9,0.77,2,0,2,12.28,4,3,6,13,45.39,26.82,2,2.19,5.33,5.76,63.88,0.7,20.85,5.47
9,1.0,0,0,2,30.0,31,3,6,13,35.0,35.0,1,30.0,2.0,0.0,67.6,0.38,17.43,29.26
9,1.0,0,0,2,30.0,33,3,6,13,35.0,35.0,1,30.0,2.0,0.41,65.79,0.38,14.84,16.11
9,1.0,0,0,2,30.0,6,3,6,13,35.0,35.0,1,30.0,2.0,0.41,67.3,0.38,16.2,30.93
9,1.0,0,0,2,30.0,33,3,6,1,35.0,35.0,1,30.0,2.0,0.41,66.1,0.38,13.98,16.12
9,1.0,0,0,2,0.0,31,3,6,13,28.0,28.0,0,0.0,5.0,0.0,57.54,0.48,19.25,24.95
9,1.0,0,0,2,0.0,14,3,6,13,28.0,28.0,0,0.0,5.0,2.45,59.41,0.48,18.68,11.23
9,1.0,0,0,2,0.0,13,3,6,13,28.0,28.0,0,0.0,5.0,2.45,59.41,0.48,18.68,22.85
9,1.0,0,0,2,0.0,16,3,6,13,28.0,28.0,0,0.0,5.0,4.35,60.3,0.48,18.97,26.71
8,1.0,0,0,2,0.0,31,3,6,13,34.0,34.0,0,0.0,6.0,0.0,65.0,0.27,11.37,31.52
8,1.0,0,0,2,0.0,40,3,6,13,34.0,34.0,0,0.0,6.0,10.0,65.0,0.26,11.37,21.26
8,1.0,0,0,2,0.0,40,3,6,2,34.0,34.0,0,0.0,6.0,10.29,65.0,0.26,11.37,16.22
8,1.0,0,0,2,0.0,40,3,6,2,34.0,34.0,0,0.0,6.0,14.57,65.0,0.26,11.37,14.88
9,1.0,0,0,2,0.0,31,3,6,13,35.0,0.0,0,0.0,6.0,0.0,69.2,0.25,18.43,32.5
9,1.0,0,0,2,0.0,14,3,6,10,35.0,0.0,0,0.0,6.0,6.3,67.79,0.25,18.43,14.5
9,1.0,0,0,2,0.0,40,3,6,13,35.0,0.0,0,0.0,6.0,4.0,68.85,0.25,18.43,20.3
9,1.0,0,0,2,0.0,14,3,6,13,35.0,0.0,0,0.0,6.0,6.3,67.79,0.25,18.43,12.4
7,1.0,0,0,2,0.0,31,3,6,13,50.0,28.4,0,0.05,9.0,0.0,60.0,0.2,31.01,36.3
7,1.0,0,0,2,0.0,8,3,6,13,50.0,26.8,0,0.03,9.0,2.0,60.0,0.27,30.06,33.2
7,1.0,0,0,2,0.0,8,3,6,13,50.0,29.8,0,0.03,9.0,4.0,60.0,0.22,30.33,26.6
7,1.0,0,0,2,0.0,8,3,6,13,50.0,31.3,0,0.03,9.0,6.0,60.0,0.21,30.55,20.4
7,1.0,0,0,2,0.0,8,3,6,13,50.0,29.2,0,0.03,9.0,8.0,60.0,0.16,31.04,14.9
7,1.0,0,0,2,0.0,8,3,6,13,50.0,29.2,0,0.03,9.0,10.0,60.0,0.37,30.79,10.7
9,1.0,0,0,2,0.0,31,3,6,13,50.0,50.0,0,0.0,9.0,0.0,55.0,0.3,25.0,2.49
9,1.0,0,0,2,0.0,4,3,6,13,50.0,50.0,0,0.0,9.0,10.0,60.66,0.3,25.94,1.57
