Material_Main,M1_is Enclosed, Composting Method,Additive_4,Additive_3,V2_Ventilation Interval (min),Additive_1,Material_3,Material_2,Additive_2,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
5,1.0,0,0,0,0.0,9,1,5,7,28.0,0.0,2,0.0,9.0,0.0,61.46,0.0,30.88,41.19
5,1.0,0,0,0,0.0,3,1,5,7,28.0,0.0,2,0.0,9.0,2.0,60.66,0.0,30.04,38.64
5,1.0,0,0,0,0.0,3,1,5,7,28.0,0.0,2,0.0,9.0,4.0,59.71,0.0,30.35,31.45
5,1.0,0,0,0,0.0,3,1,5,7,28.0,0.0,2,0.0,9.0,6.0,60.45,0.0,30.57,25.78
5,1.0,0,0,0,0.0,3,1,5,7,28.0,0.0,2,0.0,9.0,8.0,60.07,0.0,30.88,18.48
7,1.0,0,0,0,30.0,9,1,5,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.86,15.04,46.9
7,1.0,0,0,0,30.0,9,1,5,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.93,19.96,53.94
7,1.0,0,0,0,30.0,9,1,5,7,28.0,28.0,1,30.0,2.0,0.0,60.0,0.9,24.99,67.74
2,1.0,0,0,0,60.0,9,1,2,7,28.0,28.0,1,30.0,4.0,0.0,66.9,1.21,25.0,52.8
2,1.0,0,0,0,60.0,9,1,0,7,28.0,28.0,1,30.0,4.0,0.0,58.6,0.96,20.9,59.4
2,1.0,0,0,0,60.0,9,1,0,7,28.0,28.0,1,30.0,4.0,0.0,53.1,0.86,18.7,62.5
2,1.0,0,0,0,60.0,9,1,0,7,28.0,28.0,1,30.0,4.0,0.0,47.5,0.76,16.8,60.1
1,1.0,1,0,0,0.0,9,1,5,7,40.0,0.0,2,0.0,9.0,0.0,65.0,0.0,29.71,55.81
1,1.0,1,0,0,0.0,8,1,5,7,40.0,0.0,2,0.0,9.0,1.0,65.0,0.0,29.85,54.13
1,1.0,1,0,0,0.0,0,1,5,7,40.0,0.0,2,0.0,9.0,5.0,65.0,0.0,33.08,52.5
1,1.0,1,0,0,0.0,0,1,5,6,40.0,0.0,2,0.0,9.0,6.0,65.0,0.0,33.44,48.48
